Bug text,Issue key,Story point
"Cannot open configuration Cannot open configuration w/in Che 7.12.0-SNAPSHOT when right-clicking and selecting 'Open'.

theia.11bd7d00876176a81c57.js:1 Uncaught (in promise) TypeError: Cannot read property 'config' of undefined
    at context.subscriptions.push.vscode.commands.registerCommand.item (/tmp/vscode-unpacked/demo.rhamt-demo.latest.qsuxymkxyz.rhamt-vscode-extension-0.0.25-456.vsix/extension/out/src/explorer/rhamtExplorer.js:91)",WINDUP-2630,10.0
"RHAMT Explorer commands not working The RHAMT Explorer commands are not working as expected within the Che environment. Specifically, when you click on certain nodes the command handlers are not firing. Needs investigation.",WINDUP-2626,10.0
Errors when deleting issue from rhamt explorer There's problems when deleting certain issues from the rhamt explorer.,WINDUP-2474,8.0
"Problems encountered when deleting issue from explorer I'm encountering a problem when deleting an issue from the explorer. I don't see it when it's a single issue on a file, but when multiple issues exist, and I select 'delete', the issue doesn't get removed, but when I refresh the results, the items are removed (but the tree is in a strange state)",WINDUP-2470,6.0
Selecting Delete from the Explorer's context menu on an issue doesn't result in deletion The delete context menu option doesn't appear to be deleting the issue.,WINDUP-2451,3.0
Marking issue as complete doesn't refresh issue icon in explorer Upon marking an Issue complete w/in the Explorer the icon does not get updated to an checkmark.,WINDUP-2450,3.0
Problems with styling of Issue Details view The Issue Details view styles are not being rendered as expected w/in Che,WINDUP-2449,5.0
Ability to open report from w/in Che Cannot open report from w/in Explorer or notification button.,WINDUP-2447,12.0
Explorer commands not being executed within Che The commands w/in the Explorer are not being executed when selected.,WINDUP-2446,8.0
Icons for analysis results The analysis result tree nodes w/in the RHAMT explorer are missing the icons. Need to investigate and resolve.,WINDUP-2445,7.0
Update plugin icon Need to update the plugin with the rhamt icon,WINDUP-2444,3.0
"Error serializing configuration data w/in Che There's an error thrown when running the extension w/in Che when attempting to save the configuration data.

> ""TypeError: Converting circular structure to JSON"" on JavaScript

I do not see a clear reason as to why it would think there's a circular structure because it's a very simple object that contains one embedded object containing nothing but three strings:

Example:

{
            ""id"": ""-c55ezwfjj-w2e2roae7"",
            ""name"": ""webapp"",
            ""options"": {
                ""output"": ""/data/-c55ezwfjj-w2e2roae7"",
                ""input"": ""/tests"",
                ""target"": [
                    ""eap7""
                ],
                ""source"": [],
                ""jvm"": ""/Library/Java/JavaVirtualMachines/jdk1.8.0_161.jdk/Contents/Home""
            },
            ""summary"": {
                ""outputLocation"": ""/data/-c55ezwfjj-w2e2roae7"",
                ""executedTimestamp"": ""5/7/20 @ 6:31PM"",
                ""executable"": ""/rhamt-cli-4.2.0-SNAPSHOT/bin/rhamt-cli""
            }
        }

The error is not present when using the tooling w/in VSCode.",WINDUP-2443,7.0
Error while loading analysis results After analysis completes there are errors from loading and saving the results.,WINDUP-2442,10.0
rhamt-cli progress parsing issues Parsing exceptions are being thrown while parsing the progress information generated by the rhamt-cli.,WINDUP-2441,12.0
progress notifications not rendered as expected The progress notifications opened during an analysis are not displaying the messages are they are w/in VSCode. Need to investigate.,WINDUP-2440,5.0
"cannot open configuration editor When selecting a configuration in the explorer, the editor does not get opened.",WINDUP-2439,5.0
FAQ not rendering as expected The FAQ does not appear once I select the 'Show FAQs' button.,WINDUP-2425,4.0
Change persistence storage location The current persistence location needs to be changed from the extensions installation location to a workspace relative location (we can later change to a global location if that makes more sense).,WINDUP-2423,4.0
"Unable to find configuration persistence file exception When testing the latest build, I right-click in RHAMT explorer, new configuration, and an error messaging stating 'Unable to find configuration persistence file' is displayed.
",WINDUP-2418,3.0
"mark item as complete not working When right-clicking on an issue in the Explorer and selecting 'Mark as Complete', the item does not get updated with the respective 'complete' icon.",WINDUP-2417,3.0
"RHAMT on Openshift - Package Discovery service causes the WebUi Pod to run out of memory The web-template-empty-dir-executor-shared-storage.json in the Upshift environment.

The analysis of the 05 sub-folder of the All Apps collection of test applications as a single RHAMT project caused the Web UI Pod to run out of memory.

It would be good to have a check-box to control whether the package discovery is desired, so that it is not triggered unless it is desired. 

",WINDUP-2277,5.0
Ehcache jar not recognised as 3rd party app in dependencies graph see attached screenshot. repro app: mvn clean install -DskipTests for https://github.com/jeichler/weblogic-jms-case/tree/rhamt-reproducer,WINDUP-2241,1.0
