Bug text root form,Issue key,Story point
"debugg : except variabl view due empti label variabl except shown expand variabl view child key-valu . the except get gener blank row/row shown variabl view . on io issu n't realli occur seen debug sourc file open show sourc found . on android easili reproduc variabl like expand variabl ti titanium tabgroup win step reproduc : 1 . creat default classic titanium project 2 . add breakpoint tabgroup.open ( ) 3 . debug android device/emul 4 . when debug thread get suspend brekapoint , check variabl view expand variabl tabgroup actual result : blank row shown upon expans . also except shown . follow studio log : { code } ! entri org.eclipse.core.job 4 2 2019-05-10 10:53:32.864 ! messag an intern error occur : `` label job '' . ! stack 0 java.lang.nullpointerexcept com.axway.inspector.model.inspectorvariablepreview.getvalu ( inspectorvariablepreview.java:77 ) org.eclipse.debug.internal.ui.model.elements.variablelabelprovider.getlabel ( variablelabelprovider.java:95 ) org.eclipse.debug.internal.ui.model.elements.elementlabelprovider.getlabel ( elementlabelprovider.java:315 ) org.eclipse.debug.internal.ui.model.elements.elementlabelprovider.retrievelabel ( elementlabelprovider.java:218 ) org.eclipse.debug.internal.ui.model.elements.elementlabelprovid $ labelupdater.run ( elementlabelprovider.java:165 ) org.eclipse.debug.internal.ui.model.elements.elementlabelprovid $ labeljob.run ( elementlabelprovider.java:74 ) org.eclipse.core.internal.jobs.worker.run ( worker.java:56 ) ! entri org.eclipse.core.job 4 2 2019-05-10 10:53:32.865 ! messag an intern error occur : `` children updat '' . ! stack 0 java.lang.nullpointerexcept com.axway.inspector.model.inspectorvariablepreview.getvalu ( inspectorvariablepreview.java:77 ) org.eclipse.debug.internal.ui.model.elements.variablecontentprovider.haschildren ( variablecontentprovider.java:65 ) org.eclipse.debug.internal.ui.model.elements.elementcontentprovider.updatehaschildren ( elementcontentprovider.java:229 ) org.eclipse.debug.internal.ui.model.elements.elementcontentprovid $ 3.run ( elementcontentprovider.java:206 ) org.eclipse.core.internal.jobs.worker.run ( worker.java:56 ) { code }",TISTUD-9170,8
io debug : the io debug break anonym file app launch debug alloy classic app io devic io simul break time anonym file app launch user ad breakpoint . thi happen 8.0.0.x sdk build issu seen app built 7.5.0.ga step reproduc : 1 . creat alloy classic app 2 . set breakpoint js file creat app project 3 . debug io simul devic actual result : the debug process break anonym file app launch hit user ad breakpoint . check screenshot well studio show debug stack expect result : the debug process break user ad breakpoint,TISTUD-9166,8
"can launch studio jdk 11 can launch studio jdk 11 . upon launch error shown . below error log { code } ! session 2018-09-28 10:02:10.883 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- - eclipse.buildid=unknown java.version=11 java.vendor=oracl corpor bootload constant : os=macosx , arch=x86_64 , ws=cocoa , nl=en_sg framework argument : -keyr /users/ssekhri/.eclipse_keyr command-lin argument : -o macosx -w cocoa -arch x86_64 -keyr /users/ssekhri/.eclipse_keyr ! entri org.eclipse.core.net 1 0 2018-09-28 10:02:15.418 ! messag system properti http.nonproxyhost set local| * .local|169.254/16| * .169.254/16 extern sourc . thi valu overwritten use valu prefer ! entri org.eclipse.osgi 4 0 2018-09-28 10:02:15.507 ! messag applic error ! stack 1 org.eclipse.e4.core.di.injectionexcept : java.lang.noclassdeffounderror : javax/annotation/postconstruct org.eclipse.e4.core.internal.di.injectorimpl.internalmak ( injectorimpl.java:410 ) org.eclipse.e4.core.internal.di.injectorimpl.mak ( injectorimpl.java:318 ) org.eclipse.e4.core.contexts.contextinjectionfactory.mak ( contextinjectionfactory.java:162 ) org.eclipse.e4.ui.internal.workbench.swt.e4application.createdefaultheadlesscontext ( e4application.java:491 ) org.eclipse.e4.ui.internal.workbench.swt.e4application.createdefaultcontext ( e4application.java:505 ) org.eclipse.e4.ui.internal.workbench.swt.e4application.createe4workbench ( e4application.java:204 ) org.eclipse.ui.internal.workbench.lambda $ 3 ( workbench.java:614 ) org.eclipse.core.databinding.observable.realm.runwithdefault ( realm.java:336 ) org.eclipse.ui.internal.workbench.createandrunworkbench ( workbench.java:594 ) org.eclipse.ui.platformui.createandrunworkbench ( platformui.java:148 ) com.appcelerator.titanium.rcp.ideapplication.start ( ideapplication.java:126 ) org.eclipse.equinox.internal.app.eclipseapphandle.run ( eclipseapphandle.java:196 ) org.eclipse.core.runtime.internal.adaptor.eclipseapplauncher.runappl ( eclipseapplauncher.java:134 ) org.eclipse.core.runtime.internal.adaptor.eclipseapplauncher.start ( eclipseapplauncher.java:104 ) org.eclipse.core.runtime.adaptor.eclipsestarter.run ( eclipsestarter.java:388 ) org.eclipse.core.runtime.adaptor.eclipsestarter.run ( eclipsestarter.java:243 ) java.base/jdk.internal.reflect.nativemethodaccessorimpl.invoke0 ( nativ method ) java.base/jdk.internal.reflect.nativemethodaccessorimpl.invok ( nativemethodaccessorimpl.java:62 ) java.base/jdk.internal.reflect.delegatingmethodaccessorimpl.invok ( delegatingmethodaccessorimpl.java:43 ) java.base/java.lang.reflect.method.invok ( method.java:566 ) org.eclipse.equinox.launcher.main.invokeframework ( main.java:653 ) org.eclipse.equinox.launcher.main.basicrun ( main.java:590 ) org.eclipse.equinox.launcher.main.run ( main.java:1499 ) caus : java.lang.noclassdeffounderror : javax/annotation/postconstruct org.eclipse.e4.core.internal.di.injectorimpl.inject ( injectorimpl.java:124 ) org.eclipse.e4.core.internal.di.injectorimpl.internalmak ( injectorimpl.java:399 ) ... 22 caus : java.lang.classnotfoundexcept : javax.annotation.postconstruct found org.eclipse.e4.core.di_1.6.100.v20170421-1418 org.eclipse.osgi.internal.loader.bundleloader.findclassintern ( bundleloader.java:433 ) org.eclipse.osgi.internal.loader.bundleloader.findclass ( bundleloader.java:395 ) org.eclipse.osgi.internal.loader.bundleloader.findclass ( bundleloader.java:387 ) org.eclipse.osgi.internal.loader.moduleclassloader.loadclass ( moduleclassloader.java:150 ) java.base/java.lang.classloader.loadclass ( classloader.java:521 ) ... 24 ! entri org.eclipse.e4.ui.workbench 4 0 2018-09-28 10:02:15.512 ! messag frameworkev error ! stack 0 java.lang.noclassdeffounderror : javax/annotation/predestroy org.eclipse.e4.core.internal.di.injectorimpl.dispos ( injectorimpl.java:450 ) org.eclipse.e4.core.internal.di.requestor.dispos ( requestor.java:156 ) org.eclipse.e4.core.internal.contexts.contextobjectsuppli $ contextinjectionlistener.upd ( contextobjectsupplier.java:78 ) org.eclipse.e4.core.internal.contexts.trackablecomputationext.upd ( trackablecomputationext.java:111 ) org.eclipse.e4.core.internal.contexts.trackablecomputationext.handleinvalid ( trackablecomputationext.java:74 ) org.eclipse.e4.core.internal.contexts.eclipsecontext.dispos ( eclipsecontext.java:178 ) org.eclipse.e4.core.internal.contexts.osgi.eclipsecontextosgi.dispos ( eclipsecontextosgi.java:99 ) org.eclipse.e4.core.internal.contexts.osgi.eclipsecontextosgi.bundlechang ( eclipsecontextosgi.java:141 ) org.eclipse.osgi.internal.framework.bundlecontextimpl.dispatchev ( bundlecontextimpl.java:908 ) org.eclipse.osgi.framework.eventmgr.eventmanager.dispatchev ( eventmanager.java:230 ) org.eclipse.osgi.framework.eventmgr.listenerqueue.dispatcheventsynchron ( listenerqueue.java:148 ) org.eclipse.osgi.internal.framework.equinoxeventpublisher.publishbundleeventprivileg ( equinoxeventpublisher.java:213 ) org.eclipse.osgi.internal.framework.equinoxeventpublisher.publishbundleev ( equinoxeventpublisher.java:120 ) org.eclipse.osgi.internal.framework.equinoxeventpublisher.publishbundleev ( equinoxeventpublisher.java:112 ) org.eclipse.osgi.internal.framework.equinoxcontaineradaptor.publishmoduleev ( equinoxcontaineradaptor.java:168 ) org.eclipse.osgi.container.module.publishev ( module.java:476 ) org.eclipse.osgi.container.module.dostop ( module.java:634 ) org.eclipse.osgi.container.module.stop ( module.java:498 ) org.eclipse.osgi.container.systemmodule.stop ( systemmodule.java:202 ) org.eclipse.osgi.internal.framework.equinoxbundl $ systembundl $ equinoxsystemmodul $ 1.run ( equinoxbundle.java:165 ) java.base/java.lang.thread.run ( thread.java:834 ) caus : java.lang.classnotfoundexcept : javax.annotation.predestroy found org.eclipse.e4.core.di_1.6.100.v20170421-1418 org.eclipse.osgi.internal.loader.bundleloader.findclassintern ( bundleloader.java:433 ) org.eclipse.osgi.internal.loader.bundleloader.findclass ( bundleloader.java:395 ) org.eclipse.osgi.internal.loader.bundleloader.findclass ( bundleloader.java:387 ) org.eclipse.osgi.internal.loader.moduleclassloader.loadclass ( moduleclassloader.java:150 ) java.base/java.lang.classloader.loadclass ( classloader.java:521 ) ... 21 ! entri org.eclipse.core.job 4 2 2018-09-28 10:02:15.901 ! messag an intern error occur : `` check signedin user '' . ! stack 0 java.lang.nullpointerexcept org.eclipse.core.internal.runtime.internalplatform.geto ( internalplatform.java:395 ) org.eclipse.core.runtime.platform.geto ( platform.java:1126 ) com.appcelerator.titanium.core.internal.cli.nodeappccli.getclipath ( nodeappccli.java:170 ) com.appcelerator.titanium.core.internal.cli.nodeappccli.isinstal ( nodeappccli.java:599 ) com.appcelerator.titanium.core.internal.cli.nodeappccli.isappccoreinstal ( nodeappccli.java:815 ) com.appcelerator.titanium.core.user.titaniumusermanager.hassignedinus ( titaniumusermanager.java:517 ) com.appcelerator.titanium.core.user.titaniumusermanag $ 6.run ( titaniumusermanager.java:637 ) org.eclipse.core.internal.jobs.worker.run ( worker.java:56 ) { code }",TISTUD-9129,8
incorrect filenam shown messag error marker error messag shown error marker state `` filename.j : line : column '' . the filenam messag alway `` filename.j '' irrespect name js file work . we either remov filenam els file error shown .,TISTUD-9099,5
"issu error marker 1 . no error marker shown editor code block shown even though syntax error due `` ... '' line 3 . the problem view though report error . { code } obj = { foo ( , b ) { … } } ; { code } wherea similar syntax error ( line 3 exampl ) insid loop report error marker editor { code } ( let = 0 ; < b.length ; i++ ) { let = b [ ] ; … } { code } 2 . error report build `` [ error ] : unexpect token ( 2:3 ) '' editor . { code } class shape { - //the error line . replac '- ' ' ... ' also show build time error tostr ( ) { return ` shape ( $ { this.id } ) ` } } { code }",TISTUD-9087,8
null pointer except shown studio launch new workspac null pointer except shown upon studio launch new workspac select . step reproduc : 1 . select new workspac open studio 2 . when studio get launch except shown . check screenshot log . 3 . close studio launch workspac . no except time . { code } ! entri org.eclipse.ui 4 4 2018-03-14 11:45:19.475 ! messag an intern error occur . ! stack 0 java.lang.nullpointerexcept com.appcelerator.titanium.ui.launchapptoolbarcontribut $ 8.runinuithread ( launchapptoolbarcontribution.java:546 ) org.eclipse.ui.progress.uijob.lambda $ 0 ( uijob.java:95 ) org.eclipse.swt.widgets.runnablelock.run ( runnablelock.java:37 ) org.eclipse.swt.widgets.synchronizer.runasyncmessag ( synchronizer.java:182 ) org.eclipse.swt.widgets.display.runasyncmessag ( display.java:4034 ) org.eclipse.swt.widgets.display.readanddispatch ( display.java:3701 ) org.eclipse.e4.ui.internal.workbench.swt.partrenderingengin $ 5.run ( partrenderingengine.java:1150 ) org.eclipse.core.databinding.observable.realm.runwithdefault ( realm.java:336 ) org.eclipse.e4.ui.internal.workbench.swt.partrenderingengine.run ( partrenderingengine.java:1039 ) org.eclipse.e4.ui.internal.workbench.e4workbench.createandrunui ( e4workbench.java:153 ) org.eclipse.ui.internal.workbench.lambda $ 3 ( workbench.java:680 ) org.eclipse.core.databinding.observable.realm.runwithdefault ( realm.java:336 ) org.eclipse.ui.internal.workbench.createandrunworkbench ( workbench.java:594 ) org.eclipse.ui.platformui.createandrunworkbench ( platformui.java:148 ) com.appcelerator.titanium.rcp.ideapplication.start ( ideapplication.java:126 ) org.eclipse.equinox.internal.app.eclipseapphandle.run ( eclipseapphandle.java:196 ) org.eclipse.core.runtime.internal.adaptor.eclipseapplauncher.runappl ( eclipseapplauncher.java:134 ) org.eclipse.core.runtime.internal.adaptor.eclipseapplauncher.start ( eclipseapplauncher.java:104 ) org.eclipse.core.runtime.adaptor.eclipsestarter.run ( eclipsestarter.java:388 ) org.eclipse.core.runtime.adaptor.eclipsestarter.run ( eclipsestarter.java:243 ) sun.reflect.nativemethodaccessorimpl.invoke0 ( nativ method ) sun.reflect.nativemethodaccessorimpl.invok ( nativemethodaccessorimpl.java:62 ) sun.reflect.delegatingmethodaccessorimpl.invok ( delegatingmethodaccessorimpl.java:43 ) java.lang.reflect.method.invok ( method.java:498 ) org.eclipse.equinox.launcher.main.invokeframework ( main.java:653 ) org.eclipse.equinox.launcher.main.basicrun ( main.java:590 ) org.eclipse.equinox.launcher.main.run ( main.java:1499 ) { code },TISTUD-9036,8
"button color proper login screen window os with studio 5.1.0 , 32 bit 64 bit version , color button login screen proper . see attach screenshot `` loginscreen_issue_5.1.png '' . the color button also make difficult read text button . also attach screenshot studio 5.0 comparison . check `` loginscreen_5.0.png ''",TISTUD-9029,3
"the instal instal jdk1.8.0_131 even jdk 1.9 alreadi instal on mac window os , appceler studio instal prompt miss jdk even though jdk 1.9 alreadi instal . henc download instal jdk 1.8 instal .",TISTUD-9016,8
eclips oxygen : the run devic drop shown truncat window os the run devic drop shown truncat,TISTUD-8997,5
"eclipse-oxygen-2 : except creat mobil project debug perspect when move eclips oxygen-2 later , might address issu log attach document [ ^exceptions_while_creatingproject_eclipse472_debugperspective.rtf ] basic , issu relat studio code , rather issu caus abstracttreeviewer.java ( within eclips commun ) . we shall close watch chang commun commit adopt get latest chang .",TISTUD-8984,5
eclips oxygen : error step step debug when use eclips oxygen core studio error shown debug breakpoint hit click step into step button . check attach screenshot log .,TISTUD-8979,5
eclips oxygen : issu project import when use eclips oxygen core studio follow issu seen import : 1 . file > import . error shown . check screenshot1 . also check screenshot2 miss icon import window also attach error log .,TISTUD-8978,5
eclips oxygen : issu menu item when use eclips oxygen core studio follow issu seen menu 1 . the command menu show option 2 . unexpect item menu . ) `` open project file system '' file menu,TISTUD-8971,5
"project icon n't shown , migrat eclipse-oxygen after migrat eclips oxygen ( 4.7 ) , project icon within * project explor * shown ( instead red squar shown ) shown . ! screen shot 2017-12-16 5.45.06 pm.png|thumbnail !",TISTUD-8963,5
unabl see android devic emul studio 5.0.0.201711210649 h5 . descript : 1 . instal studio 5.0.0.201711210649 develop branch . 2 . launch studio . h5.actual result : 1 . notic android devic emul seen . 2 . run { { appc appd android/latest/info } } give android info along devic & emul . http : //gist.github.com/lokeshchdhry/597ad4bac9813d555b7a35bc5a407d7 h5.expect result : 1 . studio detect & list android devic & emul success .,TISTUD-8922,5
an intern error occur : `` updat io info '' . [ ~ssekhri ] encount issu work studio 5.0 . but sure scenario . { code : java } ! entri org.eclipse.core.job 4 2 2017-11-22 13:33:14.606 ! messag an intern error occur : `` updat io info '' . ! stack 0 java.util.concurrentmodificationexcept java.util.arraylist $ itr.checkforcomodif ( arraylist.java:901 ) java.util.arraylist $ itr.next ( arraylist.java:851 ) com.aptana.core.util.collectionsutil.find ( collectionsutil.java:190 ) com.appcelerator.titanium.ios.core.daemon.daemoniossdklocator.getwatchemul ( daemoniossdklocator.java:333 ) com.appcelerator.titanium.ios.core.daemon.daemoniossdklocator.loadsimul ( daemoniossdklocator.java:298 ) com.appcelerator.titanium.ios.core.daemon.daemoniossdklocator.parsetiinfo ( daemoniossdklocator.java:196 ) com.appcelerator.titanium.ios.core.daemon.daemoniossdklocator.updatetiinfo ( daemoniossdklocator.java:153 ) com.appcelerator.titanium.ios.core.daemon.daemoniossdklocator.access $ 1 ( daemoniossdklocator.java:150 ) com.appcelerator.titanium.ios.core.daemon.daemoniossdkloc $ 1.run ( daemoniossdklocator.java:164 ) org.eclipse.core.internal.jobs.worker.run ( worker.java:54 ) { code },TISTUD-8919,5
"appc daemon : unexpect token end of file posit 65536 studio fail pars daemon json data 's 65k charact , sure limit . { code : java } `` devicedir '' : `` /users/kkolipaka/library/developer/coresimulator/devices/dd693e6d-d794-4f38-acb5-58d233807e5f unexpect token end of file posit 65536. org.json.simple.parser.jsonparser.pars ( jsonparser.java:258 ) org.json.simple.parser.jsonparser.pars ( jsonparser.java:82 ) org.json.simple.parser.jsonparser.pars ( jsonparser.java:76 ) com.appcelerator.titanium.ios.core.daemon.daemoniossdklocator.loadtiinfo ( daemoniossdklocator.java:642 ) com.appcelerator.titanium.ios.core.daemon.daemoniossdklocator.updatetiinfo ( daemoniossdklocator.java:154 ) com.appcelerator.titanium.ios.core.daemon.daemoniossdklocator.access $ 1 ( daemoniossdklocator.java:152 ) com.appcelerator.titanium.ios.core.daemon.daemoniossdkloc $ 1.run ( daemoniossdklocator.java:166 ) org.eclipse.core.internal.jobs.worker.run ( worker.java:54 ) { code }",TISTUD-8913,8
have flag disabl appc daemon studio have flag disabl appc daemon studio * flag : * -dappcd.dis * locat : * /applications/appcelerator\ studio/appceleratorstudio.app/contents/macos/appceleratorstudio.ini,TISTUD-8912,5
"command inject caus program execut malici command command inject caus program execut malici command behalf attack . * tag : * high , command inject * no.of issu : * 2 command inject vulner take two form : * an attack chang command program execut : attack explicitli control command . * an attack chang environ command execut : attack implicitli control command mean . in case primarili concern first scenario , possibl attack may abl control command execut . command inject vulner type occur : 1 . data enter applic untrust sourc . in case data enter getproperti ( ) launchandroid.java line 82 . 2 . the data use part string repres command execut applic . in case command execut exec ( ) externallaunch.java line 135 . 3 . by execut command , applic give attack privileg capabl attack would otherwis .",TISTUD-8829,8
