Issue key,previous_story_point,estimated_test_score,text_score_rounded
TISTUD-9170,8,7.0,7.0
TISTUD-9166,8,7.340000000000001,7.0
TISTUD-9129,8,5.4,5.0
TISTUD-9099,5,5.9,6.0
TISTUD-9087,8,6.95,7.0
TISTUD-9036,8,6.75,7.0
TISTUD-9029,3,5.15,5.0
TISTUD-9016,8,5.15,5.0
TISTUD-8997,5,5.45,5.0
TISTUD-8984,5,5.45,5.0
TISTUD-8979,5,6.29,6.0
TISTUD-8978,5,5.6,6.0
TISTUD-8971,5,5.9,6.0
TISTUD-8963,5,5.6,6.0
TISTUD-8922,5,5.15,5.0
TISTUD-8919,5,5.375,5.0
TISTUD-8913,8,5.525,6.0
TISTUD-8912,5,5.3,5.0
TISTUD-8829,8,7.4,7.0
TISTUD-8823,8,6.65,7.0
TISTUD-8778,8,7.4,7.0
TISTUD-8648,8,7.55,8.0
TISTUD-8636,8,7.1,7.0
TISTUD-8635,5,6.05,6.0
TISTUD-8612,5,7.4,7.0
TISTUD-8611,8,7.55,8.0
TISTUD-8609,8,6.14,6.0
TISTUD-7905,5,5.15,5.0
TIMOB-28244,5,5.0,5.0
TIMOB-28243,5,5.0,5.0
TIMOB-28242,5,5.0,5.0
TIMOB-28031,5,5.45,5.0
TIMOB-27351,5,5.3,5.0
TIMOB-26954,5,6.05,6.0
TIMOB-26672,5,5.3,5.0
TIMOB-25768,8,7.6,8.0
TIMOB-25513,5,5.45,5.0
TIMOB-25143,5,5.614642857142857,6.0
TIMOB-25142,5,5.614642857142857,6.0
TIMOB-25137,5,5.951309523809525,6.0
TIMOB-25136,8,6.299864718614719,6.0
TIMOB-25134,5,6.299864718614719,6.0
TIMOB-25132,8,6.299864718614719,6.0
TIMOB-25123,8,6.299864718614719,6.0
TIMOB-25122,8,6.299864718614719,6.0
TIMOB-25121,8,6.299864718614719,6.0
TIMOB-25119,5,6.299864718614719,6.0
TIMOB-25117,5,6.299864718614719,6.0
TIMOB-25102,5,6.299864718614719,6.0
TIMOB-25029,5,5.5,6.0
TIMOB-25014,5,5.75,6.0
TIMOB-24900,5,6.56,7.0
TIMOB-24595,8,7.2700000000000005,7.0
TIMOB-24398,5,5.3,5.0
TIMOB-24147,5,5.75,6.0
TIMOB-23570,8,7.55,8.0
TIMOB-23446,8,7.55,8.0
TIMOB-23267,5,5.45,5.0
TIMOB-23213,5,5.9,6.0
TIMOB-23198,5,6.1,6.0
TIMOB-23179,5,5.75,6.0
TIMOB-23165,5,5.5,6.0
TIMOB-23154,5,7.220000000000001,7.0
TIMOB-23144,5,6.05,6.0
TIMOB-23132,5,5.29375,5.0
TIMOB-23122,8,7.4,7.0
TIMOB-20602,8,5.9,6.0
TIMOB-20481,5,5.5,6.0
TIMOB-20480,5,5.45,5.0
TIMOB-20478,5,5.45,5.0
TIMOB-20469,8,7.4,7.0
TIMOB-20425,5,5.9,6.0
TIMOB-20171,5,5.15,5.0
TIMOB-20167,5,5.6,6.0
TIMOB-20166,5,5.3,5.0
TIMOB-20097,5,5.25,5.0
TIMOB-19903,8,7.15,7.0
TIMOB-19841,8,7.7,8.0
TIMOB-19840,5,5.3,5.0
TIMOB-19798,5,5.9,6.0
TIMOB-19796,8,6.5,6.0
TIMOB-19788,5,5.3,5.0
TIMOB-19787,8,5.1899999999999995,5.0
TIMOB-19766,5,6.05,6.0
TIMOB-19420,5,5.6,6.0
TIMOB-19419,8,7.85,8.0
TIMOB-19386,8,7.3,7.0
TIMOB-19385,3,4.65,5.0
TIMOB-18960,8,7.25,7.0
TIMOB-18866,5,5.75,6.0
TIMOB-18840,5,7.15,7.0
TIMOB-18740,5,5.15,5.0
TIMOB-18739,5,5.15,5.0
TIMOB-18734,8,5.3,5.0
TIMOB-18669,5,5.3,5.0
TIMOB-18638,8,6.5,6.0
TIMOB-18637,5,5.57,6.0
TIMOB-18521,3,3.95,4.0
TIMOB-18458,8,7.55,8.0
TIMOB-18457,5,5.1,5.0
TIMOB-17396,5,5.45,5.0
TIMOB-17395,5,5.3,5.0
TIMOB-16697,8,7.25,7.0
TIMOB-15118,8,7.55,8.0
TIDOC-2699,4,4.4,4.0
GB-561,3,4.45,4.0
GB-553,8,5.15,5.0
DAEMON-67,5,5.0,5.0
DAEMON-40,5,5.0,5.0
ALOY-1691,5,5.15,5.0
ALOY-1690,5,5.6,6.0
ALOY-1574,5,5.25,5.0
