Issue key,previous_story_point,estimated_test_score,Number of developers,Number of comments
WINDUP-2630,10.0,3.6234237046421,1,1
WINDUP-2626,10.0,3.6234237046421,1,0
WINDUP-2474,8.0,3.5308281864652,1,0
WINDUP-2470,6.0,3.6234237046421,1,0
WINDUP-2451,3.0,3.6234237046421,1,0
WINDUP-2450,3.0,3.6234237046421,1,0
WINDUP-2449,5.0,2.7777777777777777,1,0
WINDUP-2447,12.0,3.6234237046421,1,0
WINDUP-2446,8.0,5.150961538461539,1,0
WINDUP-2445,7.0,3.6234237046421,1,0
WINDUP-2444,3.0,3.6234237046421,1,0
WINDUP-2443,7.0,5.906521739130435,1,0
WINDUP-2442,10.0,3.5308281864652,1,0
WINDUP-2441,12.0,3.6234237046421,1,0
WINDUP-2440,5.0,2.7777777777777777,1,0
WINDUP-2439,5.0,3.6234237046421,1,0
WINDUP-2425,4.0,2.7777777777777777,1,0
WINDUP-2423,4.0,3.6234237046421,1,0
WINDUP-2418,3.0,2.995,1,0
WINDUP-2417,3.0,3.6234237046421,1,0
WINDUP-2277,5.0,4.35,1,2
WINDUP-2241,1.0,1.78,1,3
WINDUP-2237,5.0,4.450000000000001,1,2
WINDUP-2139,15.0,3.6234237046421,1,0
WINDUP-2130,7.0,3.6234237046421,1,2
WINDUP-2101,13.0,8.25,1,7
WINDUP-1646,8.0,3.6234237046421,0,0
WINDUP-1576,8.0,3.6234237046421,1,0
WINDUP-1575,8.0,4.468425982333232,1,2
WINDUP-1574,21.0,3.6234237046421,1,1
WINDUP-1432,13.0,8.1,0,5
THREESCALE-5333,1.0,2.2895238095238097,0,2
THREESCALE-4489,5.0,3.457142857142857,0,4
THREESCALE-3922,3.0,4.215070006312045,0,3
THREESCALE-3904,3.0,3.6234237046421,0,1
THREESCALE-3896,3.0,1.9807692307692304,0,0
THREESCALE-3741,2.0,2.8666666666666663,0,0
THREESCALE-3687,5.0,4.135714285714286,0,1
THREESCALE-3626,3.0,2.75,0,3
THREESCALE-3625,1.0,3.6234237046421,0,6
THREESCALE-3623,8.0,3.8,0,0
THREESCALE-3593,3.0,1.1109149247546484,0,0
THREESCALE-3592,13.0,7.2,0,19
THREESCALE-3585,1.0,1.997467420780114,0,0
THREESCALE-3584,3.0,3.6234237046421,0,0
THREESCALE-3581,8.0,2.189553990610329,0,2
THREESCALE-3546,5.0,2.598452380952381,0,1
THREESCALE-3489,3.0,2.85,0,0
THREESCALE-3394,5.0,4.4,0,1
THREESCALE-3358,1.0,4.429015153005563,0,1
THREESCALE-2625,13.0,3.6234237046421,0,2
THREESCALE-2086,8.0,4.096218024960064,0,3
THREESCALE-1780,15.0,3.35,0,5
THREESCALE-1712,3.0,2.6333333333333333,0,0
THREESCALE-1609,5.0,3.6234237046421,0,0
THREESCALE-1451,3.0,1.95,0,25
THREESCALE-1422,2.0,1.997467420780114,0,3
THREESCALE-1059,3.0,2.9,0,5
THORN-2513,5.0,4.125,1,2
THORN-2435,1.0,2.75,1,1
THORN-2417,1.0,3.875,1,0
THORN-2387,10.0,6.5,0,3
THORN-2385,5.0,3.825,1,0
THORN-2361,5.0,3.65,1,3
THORN-2338,1.0,4.8,1,4
THORN-2333,1.0,2.575,0,3
THORN-2312,5.0,3.5,1,1
THORN-2311,5.0,3.65,1,4
THORN-2291,10.0,6.225,0,4
THORN-2287,5.0,3.5166666666666666,1,1
THORN-2281,5.0,4.9,1,0
THORN-2264,5.0,5.283333333333333,1,2
THORN-2261,5.0,8.55,0,1
THORN-2209,5.0,4.0,0,10
THORN-2196,5.0,7.25,1,3
THORN-2190,5.0,2.0333333333333337,1,7
THORN-2154,1.0,3.1,1,1
THORN-2144,1.0,5.45,1,1
THORN-2143,1.0,3.383333333333333,1,1
THORN-2142,1.0,5.05,1,1
THORN-2137,5.0,4.75,1,9
THORN-2125,1.0,2.175,1,1
THORN-2110,5.0,2.875,1,1
THORN-2098,1.0,1.4,1,5
THORN-2093,5.0,4.6,1,1
THORN-2087,1.0,2.1100000000000003,1,1
THORN-2083,5.0,4.7,1,3
