Bug text root form,issue key,Story point
ewererwf dsf dfd seff wefgf aeada,12,
occat miss index elasticsearch occasion applic still n't index elasticsearch . need investig might occur .,USERGRID-1027,8.0
re-index use amazonasynceventservic support updat date see implement exampl inmemoryasynceventservic org/apache/usergrid/corepersistence/asyncevents/eventbuilderimpl.java:166 thi filter base modified/upd date event index . need ensur amazonasynceventservic consum implement someth similar or look produc filter event even drop aw queue .,USERGRID-900,3.0
fix prune usergrid tool 2.1 the usergrid tool broken varieti way two-dot-o two-dot-o-dev brand . the tool compil . mani reli outdat 1.0 concept . mani obsolet . 1 . delet obsolet tool 2 . make tool compil,USERGRID-872,3.0
"notif post throw npe { code } curl -x post -d ' { `` payload '' : { `` apple-dev '' : `` hello world ! '' } } ' 'http : //api.usergrid.com/brandon.apigee/baas-integration-tests/devices/ * /notif ? client_id=redact & client_secret=redact ' { code } throw : { code } { `` error '' : `` runtim '' , `` timestamp '' : 1436981233645 , `` durat '' : 0 , `` except '' : `` java.lang.runtimeexcept '' , `` error_descript '' : `` java.lang.nullpointerexcept '' } { code } 1 ) accord doc , work : http : //apigee.com/docs/app-services/content/creating-and-managing-notif 2 ) if n't n't suppos , n't throw npe . note notifi sandbox cert creat name 'apple-dev ' . -- - updat it work { code } /devic ; ql=select * /notif { code } address also updat document reflect way work . -- - updat it also appear although npe return via api , notif * * creat /notif . in particular test , devic /devic collect : { code } { `` uuid '' : `` 11c5e62a-2a84-11e5-af28-65b8f0f35f5f '' , `` type '' : `` notif '' , `` creat '' : 1436918242690 , `` modifi '' : 1436918242690 , `` payload '' : { `` apple-dev '' : `` hello world ! '' } , `` debug '' : fals , `` state '' : `` creat '' , `` metadata '' : { `` path '' : `` /notifications/11c5e62a-2a84-11e5-af28-65b8f0f35f5f '' , `` collect '' : { `` receipt '' : `` /notifications/11c5e62a-2a84-11e5-af28-65b8f0f35f5f/receipt '' } } } { code }",USERGRID-858,2.0
sn < - > sq subscript not creat cross-region,USERGRID-798,0.0
"org ( presum app ) credenti ca n't creat connect default if tri creat new connect use org app credenti , fail : { code } { `` durat '' : 1 , `` error '' : `` unauthor '' , `` error_descript '' : `` subject permiss [ applic : post : uuid : /col1/uuid/relationship/uid ] '' , `` except '' : `` org.apache.shiro.authz.unauthorizedexcept '' , `` timestamp '' : `` .... '' } { code } the workaround seem give { code } post / * * { code } guest role . expect behavior : app org credenti ( box ) abl creat delet connect , well retriev depth : { code } get /collection/uuid/verb get /collection/uuid/connecting/verb get /collection/uuid/connections/verb { code } etc . in short , test urap integration_test pass net new instanc without set guest role permiss { code } / * * { code }",USERGRID-797,3.0
"'order creat desc ' caus result locat queri ( affect 1.0 , sure 2.0 ) make follow api call return result : { code } http : //api.usergrid.com/org/app/collect ? ql=locat % 20within % 201000 % 20of % 2051.73213 % 2c % 20-1.20631 % 20order % 20bi % 20creat % 20desc { code } one work : { code } http : //api.usergrid.com/org/app/collect ? ql=locat % 20within % 201000 % 20of % 2051.73213 % 2c % 20-1.20631 { code } definit affect 1.0 , test 2.x",USERGRID-787,3.0
"limit queri result highli variabl number result thi behavior observ build two-dot-o branch commit id 2d1c8b8ac7b20b63a11d83adca56839d8b409cca . for exampl , limit=2 give 1 sometim , limit=750 give anywher 625 749 . for exampl script : { code } # ! /bin/bash count ` seq 1 10 ` curl -s `` http : //example.com/appservices/testorg/sandbox/scmock ? limit=750 '' > file $ { count } grep uuid file $ { count } | wc rm file $ { count } done { code } produc result : 685 2055 36305 750 2250 39750 749 2247 39697 742 2226 39326 750 2250 39750 749 2247 39697 747 2241 39591 744 2232 39432 750 2250 39750 749 2247 39697 a differ count everi time .",USERGRID-778,3.0
refactor app info migrat make function,USERGRID-777,3.0
"queri without 'ql ' return null pointer instead meaning messag http : //api.usergrid.com/vta/sandbox/stop ? select * locat within 3 37.415449732 , -121.920367767 - return 500/npe 4xx , prefer better error messag .",USERGRID-776,3.0
except mask clientcredentialssecurityfilt an except mask caus issu deploy . here class line . we specif except catch least log . http : //github.com/apache/incubator-usergrid/blob/49ae4ac5b8d5d77e90e6e6c6e9d8b299a5423863/stack/rest/src/main/java/org/apache/usergrid/rest/security/shiro/filters/clientcredentialssecurityfilter.java # l65,USERGRID-774,3.0
